"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","POST /auth/signup refuse un nom trop long","api","2026-09-12","passed","2026-09-12","API — Authentification","","",""
"","340","l'historique de facturation liste les factures émises","e2e-chromium","2026-09-12","passed","2026-09-12","Navigation et facturation (lecture seule)","","",""
"","35","POST /auth/signup refuse une charge invalide : invalidEmail","api","2026-09-12","passed","2026-09-12","API — Authentification","","",""
"","245","un visiteur anonyme est redirigé vers la connexion","e2e-chromium","2026-09-12","passed","2026-09-12","Authentification","","",""
"","1491","passer au plan Pro débloque de nouveaux sièges","e2e-chromium","2026-09-12","passed","2026-09-12","Équipe et sièges — tenant isolé","","",""
"","35","un plan inconnu est refusé","api","2026-09-12","passed","2026-09-12","API — Isolation, rôles et sièges","","",""
"","32","un admin ne peut pas modifier l'abonnement","api","2026-09-12","passed","2026-09-12","API — Isolation, rôles et sièges","","",""
"","702","authentifier le rôle admin","setup","2026-09-12","passed","2026-09-12","","","",""
"","1202","un nom vide est refusé","e2e-chromium","2026-09-12","passed","2026-09-12","Paramètres du compte — tenant isolé","","",""
"","1319","l'onboarding refuse de passer une étape non renseignée","e2e-chromium","2026-09-12","passed","2026-09-12","Création de compte et activation","","",""
"","31","POST /auth/signup refuse une charge invalide : missingPassword","api","2026-09-12","passed","2026-09-12","API — Authentification","","",""
"","25","POST /auth/signup refuse une charge invalide : emptyBody","api","2026-09-12","passed","2026-09-12","API — Authentification","","",""
"","213","une URL inconnue renvoie une 404","e2e-chromium","2026-09-12","passed","2026-09-12","Authentification","","",""
"","344","connexion réussie avec des identifiants valides","e2e-chromium","2026-09-12","passed","2026-09-12","Authentification","","",""
"","337","authentifier le rôle member","setup","2026-09-12","passed","2026-09-12","","","",""
"","40","la limite de sièges du plan Free est appliquée côté API","api","2026-09-12","passed","2026-09-12","API — Isolation, rôles et sièges","","",""
"","426","connexion refusée avec un mot de passe incorrect","e2e-chromium","2026-09-12","passed","2026-09-12","Authentification","","",""
"","17","un jeton invalide retourne 401","api","2026-09-12","passed","2026-09-12","API — Isolation, rôles et sièges","","",""
"","1496","un e-mail déjà invité est refusé","e2e-chromium","2026-09-12","passed","2026-09-12","Équipe et sièges — tenant isolé","","",""
"","576","le message d'erreur ne révèle pas l'existence du compte","e2e-chromium","2026-09-12","passed","2026-09-12","Authentification","","",""
"","29","POST /auth/signup refuse une charge invalide : shortPassword","api","2026-09-12","passed","2026-09-12","API — Authentification","","",""
"","3","le menu burger ouvre la navigation","e2e-chromium","2026-09-12","skipped","2026-09-12","Navigation mobile","","",""
"","123","POST /auth/login retourne un jeton","api","2026-09-12","passed","2026-09-12","API — Authentification","","",""
"","679","un nouveau client crée son organisation et termine son onboarding","e2e-chromium","2026-09-12","passed","2026-09-12","Création de compte et activation","","",""
"","1206","la limite de sièges du plan Free bloque une invitation supplémentaire","e2e-chromium","2026-09-12","passed","2026-09-12","Équipe et sièges — tenant isolé","","",""
"","27","POST /auth/signup refuse un e-mail déjà utilisé","api","2026-09-12","passed","2026-09-12","API — Authentification","","",""
"","373","un admin peut inviter mais pas facturer","e2e-chromium","2026-09-12","passed","2026-09-12","Contrôle d'accès par rôle > en tant qu'admin","","",""
"","590","le bouton retour restaure la page précédente","e2e-chromium","2026-09-12","passed","2026-09-12","Navigation et facturation (lecture seule)","","",""
"","17","une ressource inexistante retourne un message structuré","api","2026-09-12","passed","2026-09-12","API — Isolation, rôles et sièges","","",""
"","717","authentifier le rôle owner","setup","2026-09-12","passed","2026-09-12","","","",""
"","13","une ressource protégée sans jeton retourne 401","api","2026-09-12","passed","2026-09-12","API — Isolation, rôles et sièges","","",""
"","36","POST /auth/signup crée une organisation","api","2026-09-12","passed","2026-09-12","API — Authentification","","",""
"","1139","la limite de sièges est aussi appliquée côté serveur, pas seulement dans l'UI","e2e-chromium","2026-09-12","passed","2026-09-12","Équipe et sièges — tenant isolé","","",""
"","1164","changer de mot de passe exige le mot de passe actuel","e2e-chromium","2026-09-12","passed","2026-09-12","Paramètres du compte — tenant isolé","","",""
"","92","GET /members est paginé et limité au tenant","api","2026-09-12","passed","2026-09-12","API — Isolation, rôles et sièges","","",""
"","314","le propriétaire voit les commandes de facturation","e2e-chromium","2026-09-12","passed","2026-09-12","Contrôle d'accès par rôle","","",""
"","834","navigation entre les sections principales","e2e-chromium","2026-09-12","passed","2026-09-12","Navigation et facturation (lecture seule)","","",""
"","733","modifier son nom met à jour le profil","e2e-chromium","2026-09-12","passed","2026-09-12","Paramètres du compte — tenant isolé","","",""
"","430","""Se souvenir de moi"" produit un cookie persistant","e2e-chromium","2026-09-12","passed","2026-09-12","Authentification","","",""
"","48","un membre ne peut pas créer une invitation","api","2026-09-12","passed","2026-09-12","API — Isolation, rôles et sièges","","",""
"","1539","une rétrogradation est refusée si les sièges dépassent le plan cible","e2e-chromium","2026-09-12","passed","2026-09-12","Équipe et sièges — tenant isolé","","",""
"","1287","le propriétaire invite un membre et le siège est décompté","e2e-chromium","2026-09-12","passed","2026-09-12","Équipe et sièges — tenant isolé","","",""
"","121","GET /health répond 200","api","2026-09-12","passed","2026-09-12","API — Authentification","","",""
"","1046","un mot de passe trop court est refusé","e2e-chromium","2026-09-12","passed","2026-09-12","Création de compte et activation","","",""
"","45","l'upgrade vers Pro lève la limite et met à jour l'état d'abonnement","api","2026-09-12","passed","2026-09-12","API — Isolation, rôles et sièges","","",""
"","405","un e-mail vide bloque la soumission","e2e-chromium","2026-09-12","passed","2026-09-12","Authentification","","",""
"","496","la déconnexion révoque la session et protège les pages","e2e-chromium","2026-09-12","passed","2026-09-12","Authentification","","",""
"","272","un membre ne peut pas inviter","e2e-chromium","2026-09-12","passed","2026-09-12","Contrôle d'accès par rôle > en tant que membre","","",""
"","17","un corps JSON malformé retourne 400","api","2026-09-12","passed","2026-09-12","API — Authentification","","",""
"","452","un e-mail déjà utilisé est refusé","e2e-chromium","2026-09-12","passed","2026-09-12","Création de compte et activation","","",""
"","119","un tenant ne voit pas les membres d'un autre tenant","api","2026-09-12","passed","2026-09-12","API — Isolation, rôles et sièges","","",""
"","44","POST /auth/login refuse un mauvais mot de passe","api","2026-09-12","passed","2026-09-12","API — Authentification","","",""
